time, itow, lat, lon, alt, speed, accuracy
9.273,574784000,49.3289888,8.5655753,161.7228979,0.668,739.88
9.373,574784100,49.329027,8.5655963,161.8546379,0.722,605.13
9.473,574784200,49.3290429,8.5655905,162.5675003,0.822,549.52
9.573,574784300,49.3290662,8.5655929,163.1881824,0.844,493.28
9.673,574784391,49.3291119,8.5656435,165.4733666,0.988,680.766
9.773,574784465,49.3291543,8.5655308,136.0042313,2.911,1015.142
9.873,574784601,49.3292041,8.5655399,128.6132585,0.288,413.295
9.973,574784700,49.3291992,8.5655188,125.9528663,0.608,443.28
10.073,574784800,49.329211,8.5655151,125.6813846,0.927,396.3
10.173,574784900,49.3292152,8.5655176,126.0466039,1.203,359.72
10.273,574785000,49.3292171,8.5655301,127.6128971,1.287,329.47
10.373,574785100,49.3292282,8.5655461,123.8807536,0.71,305.63
10.473,574785201,49.329232,8.5655391,118.842344,0.491,285.73
10.573,574785300,49.3292353,8.5654839,100.0978216,0.37,249.79
10.673,574785400,49.329236,8.5654572,89.8679556,0.209,219.87
10.773,574785500,49.3292318,8.5654595,84.5277037,0.085,195.67
10.873,574785602,49.3292251,8.5658568,199.7386348,0.075,122.542
10.973,574785701,49.3292312,8.5659534,227.1096546,0.059,98.961
11.073,574785800,49.3292344,8.5659985,238.2608427,0.109,85.81
11.173,574785900,49.329243,8.566028,246.0614271,0.086,76.43
11.273,574786000,49.3292501,8.5660478,251.8150925,0.075,69.61
11.373,574786101,49.3292561,8.5660624,256.1264851,0.067,64.587
11.473,574786191,49.3292579,8.5660649,257.2065605,0.055,60.298
11.573,574786300,49.3292591,8.566068,257.9006655,0.108,55.98
11.673,574786400,49.3292571,8.5660038,243.1689159,0.046,49.16
11.773,574786502,49.3292554,8.5659638,234.0281128,0.061,44.236
11.873,574786600,49.3292546,8.5659326,227.4251259,0.079,40.74
11.973,574786702,49.3292556,8.5659077,222.7346291,0.074,37.899
12.073,574786800,49.3292549,8.565888,219.1420236,0.086,35.61
12.173,574786900,49.3292526,8.5658697,215.6893185,0.045,33.66
12.273,574787008,49.3292492,8.5658543,212.887968,0.053,31.853
12.373,574787108,49.3292459,8.5658435,210.938324,0.094,30.369
12.473,574787208,49.329243,8.5658349,209.31415,0.043,29.085
12.573,574787308,49.3292396,8.5658272,207.6527598,0.077,27.942
12.673,574787408,49.3292363,8.5658211,206.2765306,0.141,26.894
